"b0","b1","SSR"
0.2,-1,4.32251973335723
0.21,-1,4.32640032167847
0.22,-1,4.33040360638261
0.23,-1,4.33452962901903
0.24,-1,4.33877841437543
0.25,-1,4.34314997052494
0.26,-1,4.34764428887902
0.27,-1,4.35226134424608
0.28,-1,4.35700109489583
0.29,-1,4.36186348262926
0.3,-1,4.36684843285423
0.31,-1,4.37195585466667
0.32,-1,4.37718564093723
0.33,-1,4.38253766840341
0.34,-1,4.38801179776712
0.35,-1,4.39360787379755
0.36,-1,4.39932572543934
0.37,-1,4.40516516592598
0.38,-1,4.41112599289838
0.39,-1,4.41720798852854
0.4,-1,4.42341091964826
0.41,-1,4.42973453788276
0.42,-1,4.43617857978934
0.43,-1,4.44274276700067
0.44,-1,4.44942680637307
0.45,-1,4.45623039013925
0.46,-1,4.46315319606583
0.47,-1,4.47019488761533
0.48,-1,4.47735511411259
0.49,-1,4.48463351091567
0.5,-1,4.49202969959093
0.51,-1,4.49954328809246
0.52,-1,4.50717387094558
0.53,-1,4.51492102943441
0.54,-1,4.52278433179345
0.55,-1,4.53076333340308
0.56,-1,4.53885757698881
0.57,-1,4.5470665928243
0.58,-1,4.5553898989381
0.59,-1,4.5638270013238
0.6,-1,4.57237739415381
0.61,-1,4.58104055999644
0.62,-1,4.58981597003634
0.63,-1,4.5987030842981
0.64,-1,4.60770135187304
0.65,-1,4.616810211149
0.66,-1,4.62602909004312
0.67,-1,4.63535740623742
0.68,-1,4.64479456741723
0.69,-1,4.65433997151227
0.7,-1,4.66399300694029
0.71,-1,4.67375305285327
0.72,-1,4.683619479386
0.73,-1,4.69359164790697
0.74,-1,4.70366891127153
0.75,-1,4.71385061407711
0.76,-1,4.72413609292057
0.77,-1,4.73452467665742
0.78,-1,4.74501568666295
0.79,-1,4.7556084370951
0.8,-1,4.76630223515898
0.81,-1,4.77709638137297
0.82,-1,4.78799016983636
0.83,-1,4.79898288849823
0.84,-1,4.81007381942777
0.85,-1,4.82126223908566
0.86,-1,4.83254741859664
0.87,-1,4.84392862402301
0.88,-1,4.85540511663905
0.89,-1,4.86697615320624
0.9,-1,4.87864098624916
0.91,-1,4.89039886433203
0.92,-1,4.90224903233568
0.93,-1,4.91419073173503
0.94,-1,4.92622320087672
0.95,-1,4.93834567525711
0.96,-1,4.95055738780023
0.97,-1,4.96285756913581
0.98,-1,4.97524544787715
0.99,-1,4.98772025089887
1,-1,5.0002812036142
-1,-0.99,4.59546827221981
-0.99,-0.99,4.58905311882964
-0.98,-0.99,4.58266748402293
-0.97,-0.99,4.57631236328431
-0.96,-0.99,4.56998875776347
