l.00,l.01,l.02,l.03,l.04,l.05,l.06,l.07,l.08,l.09,l.10,l.11,l.12,l.13,l.14,l.15,l.16,l.17,l.18,l.19,l.20,l.21,l.22,l.23,l.24,l.25,l.26,l.27,l.28,l.29,l.30,l.31,l.32,l.33,l.34,l.35,l.36,l.37,l.38,l.39,l.40,l.41,l.42,l.43,l.44,l.45,l.46,l.47,l.48,l.49,l.50,l.51,l.52,l.53,l.54,l.55,l.56,l.57,l.58,l.59,l.60,l.61,l.62,l.63,l.64,l.65,l.66,l.67,l.68,l.69,l.70,l.71,l.72,l.73,l.74,l.75,l.76,l.77,l.78,l.79,l.80,l.81,l.82,l.83,l.84,l.85,l.86,l.87,l.88,l.89,l.90,l.91,l.92,l.93,l.94,l.95,l.96,l.97,l.98,l.99
0.135984963,0.001565938,-0.003463027,-0.004019309,-0.003515489,-0.00292171,-0.002363603,-0.001880792,-0.001473604,-0.001145071,-0.000858406,-0.000598464,-0.000375315,-0.000182539,-1.42927E-05,0.00013446,0.000259323,0.000369977,0.000471536,0.00055389,0.000631561,0.000696925,0.00075719,0.000808091,0.000856045,0.000894768,0.00093349,0.000962832,0.000991421,0.001016818,0.001037083,0.001057349,0.001073618,0.001087149,0.001100679,0.001111363,0.001119535,0.001127707,0.001135165,0.001139156,0.001143147,0.001147138,0.001149593,0.001150398,0.001151204,0.00115201,0.001151792,0.001150242,0.001148692,0.001147142,0.001145592,0.001142381,0.001139155,0.00113593,0.001132705,0.001129349,0.001124998,0.001120648,0.001116297,0.001111946,0.001107595,0.001102716,0.001097675,0.001092634,0.001087593,0.001082551,0.00107751,0.001072154,0.00106676,0.001061366,0.001055973,0.001050579,0.001045185,0.001043055,0.001044969,0.001046884,0.001048798,0.001050713,0.001052627,0.001054542,0.0010534,0.001047116,0.001040832,0.001034548,0.001028264,0.001021981,0.001015697,0.001009413,0.001003368,0.000997477,0.000991585,0.000985694,0.000979803,0.000973911,0.00096802,0.000962129,0.000956277,0.000950836,0.000945395,0.000939953
-0.920895657,-0.555572061,-0.413616195,-0.338096518,-0.289132398,-0.254265073,-0.22773155,-0.206717968,-0.189686963,-0.175450943,-0.163315143,-0.152876232,-0.143796739,-0.135799577,-0.128657812,-0.122187479,-0.116531303,-0.111357708,-0.106493058,-0.102283512,-0.098235769,-0.094613043,-0.091170175,-0.088057487,-0.085051906,-0.082381726,-0.079711546,-0.077396108,-0.075109155,-0.072949236,-0.07099357,-0.069037904,-0.067251868,-0.065582074,-0.063912279,-0.062373303,-0.060949745,-0.059526187,-0.058138751,-0.056926911,-0.055715071,-0.054503231,-0.053379031,-0.052348907,-0.051318783,-0.050288658,-0.049326162,-0.04845173,-0.047577298,-0.046702867,-0.045828435,-0.045086075,-0.04434481,-0.043603545,-0.04286228,-0.042134209,-0.041506652,-0.040879096,-0.040251539,-0.039623982,-0.038996425,-0.038443015,-0.037912393,-0.03738177,-0.036851147,-0.036320524,-0.035789901,-0.035332876,-0.034884756,-0.034436635,-0.033988514,-0.033540394,-0.033092273,-0.03268124,-0.032316156,-0.031951073,-0.03158599,-0.031220906,-0.030855823,-0.030490739,-0.030142407,-0.029822259,-0.029502111,-0.029181963,-0.028861815,-0.028541667,-0.02822152,-0.027901372,-0.027612133,-0.027342721,-0.027073309,-0.026803898,-0.026534486,-0.026265074,-0.025995662,-0.025726251,-0.025460647,-0.025234155,-0.025007663,-0.024781171
0.050094917,0.052943145,0.044958782,0.03900911,0.034509094,0.030993891,0.02815557,0.025811135,0.023850087,0.022173288,0.020718018,0.019447321,0.018329277,0.017335521,0.016441704,0.015627295,0.014910699,0.014252978,0.013632981,0.013093981,0.012575215,0.012109602,0.011666701,0.011265492,0.010877917,0.010533035,0.010188153,0.009888722,0.009592941,0.00931352,0.009060406,0.008807291,0.00857611,0.008359959,0.008143809,0.007944623,0.007760404,0.007576185,0.007396659,0.007239949,0.007083238,0.006926528,0.006781218,0.006648145,0.006515071,0.006381998,0.006257726,0.006144913,0.0060321,0.005919287,0.005806474,0.005710844,0.005615357,0.00551987,0.005424383,0.005330611,0.005249907,0.005169204,0.0050885,0.005007797,0.004927093,0.004856019,0.004787904,0.004719789,0.004651675,0.00458356,0.004515445,0.004456874,0.004399459,0.004342043,0.004284627,0.004227211,0.004169795,0.004117399,0.00407122,0.004025042,0.003978864,0.003932686,0.003886508,0.003840329,0.003796098,0.003755141,0.003714185,0.003673228,0.003632272,0.003591315,0.003550359,0.003509402,0.003472447,0.003438059,0.00340367,0.003369282,0.003334893,0.003300505,0.003266116,0.003231727,0.003197831,0.003168983,0.003140136,0.003111289
0.010353572,0.005005456,0.000609746,-0.001248504,-0.002118992,-0.002528722,-0.002715751,-0.002783385,-0.002783717,-0.002748311,-0.002692348,-0.002624445,-0.00255111,-0.002475936,-0.002400915,-0.002326942,-0.002255768,-0.002187198,-0.00212033,-0.002058194,-0.001997499,-0.001940591,-0.001885564,-0.001833991,-0.001783691,-0.001737376,-0.00169106,-0.001649417,-0.001608149,-0.001568703,-0.001532187,-0.00149567,-0.001461765,-0.00142965,-0.001397535,-0.001367558,-0.001339467,-0.001311376,-0.001283906,-0.001259455,-0.001235004,-0.001210553,-0.001187675,-0.001166485,-0.001145295,-0.001124106,-0.001104175,-0.001085883,-0.001067592,-0.001049301,-0.001031009,-0.001015255,-0.000999522,-0.000983789,-0.000968056,-0.000952583,-0.000939094,-0.000925605,-0.000912116,-0.000898627,-0.000885138,-0.000873146,-0.000861615,-0.000850083,-0.000838552,-0.00082702,-0.000815489,-0.000805474,-0.000795642,-0.00078581,-0.000775979,-0.000766147,-0.000756315,-0.0007474,-0.00073962,-0.000731841,-0.000724061,-0.000716281,-0.000708502,-0.000700722,-0.000693166,-0.000685985,-0.000678805,-0.000671625,-0.000664444,-0.000657264,-0.000650083,-0.000642903,-0.000636395,-0.00063032,-0.000624244,-0.000618168,-0.000612092,-0.000606016,-0.00059994,-0.000593864,-0.000587872,-0.00058274,-0.000577607,-0.000572475
0.075822686,0.063643194,0.051878488,0.044211372,0.038739993,0.034620163,0.031368639,0.028724952,0.02653829,0.024684256,0.023083356,0.021689585,0.020466314,0.019380725,0.018405182,0.017516723,0.016735016,0.016017299,0.015340574,0.01475162,0.014184553,0.013674976,0.013189942,0.012749964,0.01232472,0.011945613,0.011566507,0.01123656,0.010910559,0.010602282,0.010322499,0.010042716,0.009786742,0.009547084,0.009307425,0.00908623,0.008881323,0.008676416,0.008476633,0.008301754,0.008126874,0.007951995,0.007789601,0.007640609,0.007491617,0.007342624,0.007203304,0.007076578,0.006949853,0.006823127,0.006696402,0.006588631,0.006481017,0.006373403,0.006265789,0.006160074,0.00606883,0.005977585,0.005886341,0.005795096,0.005703852,0.00562331,0.005546058,0.005468805,0.005391553,0.005314301,0.005237048,0.005170445,0.00510513,0.005039814,0.004974499,0.004909184,0.004843869,0.004784575,0.004732741,0.004680907,0.004629074,0.00457724,0.004525406,0.004473572,0.004423559,0.004376608,0.004329657,0.004282706,0.004235755,0.004188804,0.004141853,0.004094902,0.004052476,0.004012951,0.003973426,0.003933901,0.003894377,0.003854852,0.003815327,0.003775803,0.003736836,0.003703598,0.003670361,0.003637124
-0.004262521,-0.006455622,-0.004522076,-0.003115433,-0.002173494,-0.001529173,-0.001072809,-0.000740954,-0.000496287,-0.000310424,-0.000166266,-5.39149E-05,3.42903E-05,0.000104453,0.000161189,0.000207892,0.000243325,0.000272677,0.000298161,0.000316205,0.000332613,0.00034472,0.000355226,0.000362793,0.000369534,0.00037369,0.000377845,0.000379677,0.000381323,0.000382279,0.000382125,0.000381972,0.000381081,0.000379684,0.000378287,0.000376456,0.000374242,0.000372029,0.000369731,0.000367024,0.000364317,0.000361609,0.00035878,0.00035582,0.00035286,0.000349899,0.000346905,0.000343866,0.000340828,0.000337789,0.00033475,0.000331755,0.000328761,0.000325767,0.000322773,0.000319793,0.000316927,0.000314061,0.000311194,0.000308328,0.000305461,0.000302734,0.000300048,0.000297363,0.000294677,0.000291992,0.000289307,0.00028681,0.000284336,0.000281862,0.000279388,0.000276914,0.00027444,0.000272472,0.000271132,0.000269791,0.000268451,0.00026711,0.00026577,0.00026443,0.000262792,0.000260652,0.000258513,0.000256374,0.000254235,0.000252095,0.000249956,0.000247817,0.000245827,0.000243933,0.000242039,0.000240145,0.000238251,0.000236357,0.000234463,0.000232569,0.000230696,0.000229031,0.000227366,0.0002257
0.03496417,0.016030027,0.009488318,0.006369264,0.004591864,0.003483326,0.002735761,0.002207125,0.001822503,0.001530625,0.001303077,0.001123599,0.00097966,0.00086201,0.000763821,0.000680143,0.000612788,0.000554306,0.000501476,0.000459669,0.000420346,0.000387552,0.000357275,0.000331619,0.000307326,0.000287301,0.000267276,0.000251352,0.000235756,0.000221493,0.00020937,0.000197248,0.000186736,0.000177329,0.000167921,0.000159639,0.000152349,0.00014506,0.000138051,0.000132409,0.000126767,0.000121125,0.0001161,0.000111738,0.000107376,0.000103013,9.90818E-05,9.57112E-05,9.23407E-05,8.89702E-05,8.55997E-05,8.29906E-05,8.03878E-05,7.7785E-05,7.51822E-05,7.26483E-05,7.06389E-05,6.86296E-05,6.66203E-05,6.46109E-05,6.26016E-05,6.09428E-05,5.93917E-05,5.78407E-05,5.62896E-05,5.47386E-05,5.31875E-05,5.19519E-05,5.07545E-05,4.95571E-05,4.83596E-05,4.71622E-05,4.59648E-05,4.48301E-05,4.37733E-05,4.27164E-05,4.16596E-05,4.06027E-05,3.95458E-05,3.8489E-05,3.75681E-05,3.6876E-05,3.61839E-05,3.54918E-05,3.47997E-05,3.41076E-05,3.34155E-05,3.27234E-05,3.21265E-05,3.15908E-05,3.10551E-05,3.05193E-05,2.99836E-05,2.94479E-05,2.89121E-05,2.83764E-05,2.78514E-05,2.74363E-05,2.70212E-05,2.66062E-05
0.02775475,0.003431494,-0.001605701,-0.003380027,-0.004106076,-0.004391953,-0.004473597,-0.004450801,-0.004372605,-0.004266966,-0.004148114,-0.004023777,-0.00389892,-0.003776336,-0.003657312,-0.003542107,-0.003433247,-0.00332923,-0.003228354,-0.003135446,-0.003044831,-0.00296024,-0.002878539,-0.002802142,-0.002727656,-0.002659154,-0.002590652,-0.002529066,-0.002468036,-0.002409679,-0.002355619,-0.00230156,-0.002251313,-0.00220368,-0.002156046,-0.002111526,-0.002069754,-0.002027981,-0.001987114,-0.001950641,-0.001914169,-0.001877697,-0.001843518,-0.0018118,-0.001780083,-0.001748365,-0.001718488,-0.001691007,-0.001663525,-0.001636044,-0.001608563,-0.001584802,-0.001561071,-0.001537341,-0.001513611,-0.001490264,-0.001469836,-0.001449408,-0.001428981,-0.001408553,-0.001388126,-0.001369912,-0.001352378,-0.001334844,-0.00131731,-0.001299777,-0.001282243,-0.00126696,-0.00125195,-0.001236941,-0.001221931,-0.001206921,-0.001191911,-0.001178422,-0.001166819,-0.001155216,-0.001143614,-0.001132011,-0.001120408,-0.001108805,-0.001097395,-0.001086312,-0.001075228,-0.001064145,-0.001053061,-0.001041978,-0.001030894,-0.001019811,-0.001009745,-0.001000331,-0.000990918,-0.000981505,-0.000972091,-0.000962678,-0.000953265,-0.000943851,-0.000934565,-0.000926585,-0.000918606,-0.000910626
0.036194775,0.011984142,0.008208835,0.006832624,0.00611883,0.005641184,0.005274521,0.004971847,0.004712772,0.004483328,0.004277964,0.004093376,0.003925502,0.003771659,0.003629459,0.003496752,0.00337621,0.003263338,0.003155396,0.003058514,0.002964526,0.002878141,0.002795156,0.002718411,0.0026438,0.002575867,0.002507934,0.002447418,0.002387497,0.002330357,0.002277686,0.002225016,0.002176219,0.002130076,0.002083934,0.002040899,0.002000607,0.001960314,0.001920912,0.001885837,0.001850762,0.001815687,0.001782847,0.001752405,0.001721964,0.001691522,0.001662861,0.001636516,0.001610171,0.001583827,0.001557482,0.001534715,0.001511978,0.001489241,0.001466504,0.001444135,0.001424562,0.00140499,0.001385418,0.001365846,0.001346273,0.001328817,0.00131201,0.001295203,0.001278397,0.00126159,0.001244784,0.001230126,0.001215728,0.00120133,0.001186933,0.001172535,0.001158137,0.001145335,0.001134512,0.001123689,0.001112865,0.001102042,0.001091219,0.001080395,0.001069623,0.001058935,0.001048248,0.00103756,0.001026873,0.001016186,0.001005498,0.000994811,0.000985098,0.00097601,0.000966922,0.000957835,0.000948747,0.000939659,0.000930572,0.000921484,0.000912518,0.000904804,0.000897091,0.000889377
0.081891163,0.04138415,0.030545548,0.025097381,0.021644928,0.019215714,0.017370613,0.015907033,0.014716475,0.013716153,0.012859352,0.012118533,0.01147011,0.01089541,0.010379131,0.009908822,0.009494495,0.009113546,0.008753973,0.008440022,0.008137426,0.007864659,0.007604625,0.007367964,0.007138956,0.006933916,0.006728875,0.00654944,0.006372061,0.006203949,0.006050737,0.005897525,0.005756825,0.005624699,0.005492573,0.005370206,0.005256449,0.005142692,0.005031661,0.004933882,0.004836103,0.004738324,0.004647237,0.004563332,0.004479427,0.004395522,0.00431684,0.004244961,0.004173082,0.004101203,0.004029324,0.003967764,0.003906289,0.003844815,0.003783341,0.003722909,0.00367042,0.003617931,0.003565442,0.003512953,0.003460464,0.003413899,0.003369154,0.00332441,0.003279665,0.003234921,0.003190176,0.003151375,0.003113293,0.003075211,0.003037128,0.002999046,0.002960964,0.00292687,0.002897716,0.002868563,0.00283941,0.002810256,0.002781103,0.002751949,0.002723277,0.002695414,0.002667552,0.002639689,0.002611826,0.002583964,0.002556101,0.002528238,0.002502979,0.00247939,0.002455801,0.002432212,0.002408623,0.002385034,0.002361446,0.002337857,0.002314591,0.002294648,0.002274704,0.002254761
