"b0","b1","SSR"
5.2,-2,127.98939587416
5.3,-2,118.693493520265
5.4,-2,109.797591166371
5.5,-2,101.301688812477
5.6,-2,93.2057864585826
5.7,-2,85.5098841046884
5.8,-2,78.2139817507942
5.9,-2,71.3180793969
6,-2,64.8221770430058
6.1,-2,58.7262746891114
6.2,-2,53.0303723352173
6.3,-2,47.734469981323
6.4,-2,42.8385676274287
6.5,-2,38.3426652735345
6.6,-2,34.2467629196402
6.7,-2,30.5508605657461
6.8,-2,27.2549582118518
6.9,-2,24.3590558579575
7,-2,21.8631535040633
7.1,-2,19.7672511501691
7.2,-2,18.0713487962748
7.3,-2,16.7754464423806
7.4,-2,15.8795440884863
7.5,-2,15.3836417345921
7.6,-2,15.2877393806979
7.7,-2,15.5918370268036
7.8,-2,16.2959346729094
7.9,-2,17.4000323190151
8,-2,18.9041299651209
8.1,-2,20.8082276112267
8.2,-2,23.1123252573324
8.3,-2,25.8164229034382
8.4,-2,28.920520549544
8.5,-2,32.4246181956497
8.6,-2,36.3287158417555
8.7,-2,40.6328134878611
8.8,-2,45.336911133967
8.9,-2,50.4410087800728
9,-2,55.9451064261784
9.1,-2,61.8492040722843
9.2,-2,68.1533017183901
9.3,-2,74.8573993644957
9.4,-2,81.9614970106016
9.5,-2,89.4655946567072
9.6,-2,97.3696923028131
9.7,-2,105.673789948919
9.8,-2,114.377887595025
9.9,-2,123.48198524113
10,-2,132.986082887236
-10,-1.99,6161.64288380059
-9.9,-1.99,6091.72064961162
-9.8,-1.99,6022.19841542265
-9.7,-1.99,5953.07618123368
-9.6,-1.99,5884.35394704471
-9.5,-1.99,5816.03171285574
-9.4,-1.99,5748.10947866678
-9.3,-1.99,5680.58724447781
-9.2,-1.99,5613.46501028883
-9.1,-1.99,5546.74277609987
-9,-1.99,5480.4205419109
-8.9,-1.99,5414.49830772193
-8.8,-1.99,5348.97607353296
-8.7,-1.99,5283.85383934399
-8.6,-1.99,5219.13160515502
-8.5,-1.99,5154.80937096605
-8.4,-1.99,5090.88713677708
-8.3,-1.99,5027.36490258811
-8.2,-1.99,4964.24266839914
-8.1,-1.99,4901.52043421017
-8,-1.99,4839.1982000212
-7.9,-1.99,4777.27596583223
-7.8,-1.99,4715.75373164326
-7.7,-1.99,4654.63149745429
-7.6,-1.99,4593.90926326532
-7.5,-1.99,4533.58702907635
-7.4,-1.99,4473.66479488738
-7.3,-1.99,4414.14256069841
-7.2,-1.99,4355.02032650944
-7.1,-1.99,4296.29809232047
-7,-1.99,4237.9758581315
-6.9,-1.99,4180.05362394253
-6.8,-1.99,4122.53138975356
-6.7,-1.99,4065.40915556459
-6.6,-1.99,4008.68692137562
-6.5,-1.99,3952.36468718665
-6.4,-1.99,3896.44245299768
-6.3,-1.99,3840.92021880871
-6.2,-1.99,3785.79798461974
-6.1,-1.99,3731.07575043077
-6,-1.99,3676.7535162418
-5.9,-1.99,3622.83128205283
-5.8,-1.99,3569.30904786386
-5.7,-1.99,3516.18681367489
-5.6,-1.99,3463.46457948592
-5.5,-1.99,3411.14234529695
-5.4,-1.99,3359.22011110798
-5.3,-1.99,3307.69787691901
-5.2,-1.99,3256.57564273004
-5.1,-1.99,3205.85340854107
-5,-1.99,3155.53117435211
-4.9,-1.99,3105.60894016314
-4.8,-1.99,3056.08670597416
-4.7,-1.99,3006.9644717852
-4.6,-1.99,2958.24223759623
-4.5,-1.99,2909.92000340726
-4.4,-1.99,2861.99776921829
-4.3,-1.99,2814.47553502932
-4.2,-1.99,2767.35330084035
-4.1,-1.99,2720.63106665138
-4,-1.99,2674.30883246241
-3.9,-1.99,2628.38659827344
-3.8,-1.99,2582.86436408447
-3.7,-1.99,2537.7421298955
-3.6,-1.99,2493.01989570653
-3.5,-1.99,2448.69766151756
-3.4,-1.99,2404.77542732859
-3.3,-1.99,2361.25319313962
-3.2,-1.99,2318.13095895065
-3.1,-1.99,2275.40872476168
-3,-1.99,2233.08649057271
-2.9,-1.99,2191.16425638374
-2.8,-1.99,2149.64202219477
-2.7,-1.99,2108.5197880058
-2.6,-1.99,2067.79755381683
-2.5,-1.99,2027.47531962786
-2.4,-1.99,1987.55308543889
-2.3,-1.99,1948.03085124992
-2.2,-1.99,1908.90861706095
-2.1,-1.99,1870.18638287198
-2,-1.99,1831.86414868301
-1.9,-1.99,1793.94191449404
-1.8,-1.99,1756.41968030507
-1.7,-1.99,1719.2974461161
-1.6,-1.99,1682.57521192713
-1.5,-1.99,1646.25297773816
-1.4,-1.99,1610.33074354919
-1.3,-1.99,1574.80850936022
-1.2,-1.99,1539.68627517125
-1.1,-1.99,1504.96404098228
-1,-1.99,1470.64180679331
-0.9,-1.99,1436.71957260434
-0.799999999999999,-1.99,1403.19733841537
-0.699999999999999,-1.99,1370.0751042264
-0.6,-1.99,1337.35287003743
-0.5,-1.99,1305.03063584847
-0.399999999999999,-1.99,1273.10840165949
-0.299999999999999,-1.99,1241.58616747053
-0.199999999999999,-1.99,1210.46393328156
-0.0999999999999996,-1.99,1179.74169909259
0,-1.99,1149.41946490362
0.100000000000001,-1.99,1119.49723071465
0.200000000000001,-1.99,1089.97499652568
0.300000000000001,-1.99,1060.85276233671
0.4,-1.99,1032.13052814774
0.5,-1.99,1003.80829395877
0.600000000000001,-1.99,975.886059769797
0.700000000000001,-1.99,948.363825580828
0.800000000000001,-1.99,921.241591391858
0.9,-1.99,894.519357202888
1,-1.99,868.197123013918
1.1,-1.99,842.274888824948
1.2,-1.99,816.752654635979
1.3,-1.99,791.630420447009
1.4,-1.99,766.908186258039
1.5,-1.99,742.58595206907
1.6,-1.99,718.6637178801
1.7,-1.99,695.14148369113
1.8,-1.99,672.01924950216
1.9,-1.99,649.297015313191
2,-1.99,626.974781124221
2.1,-1.99,605.052546935251
2.2,-1.99,583.530312746281
2.3,-1.99,562.408078557311
2.4,-1.99,541.685844368342
2.5,-1.99,521.363610179372
2.6,-1.99,501.441375990402
2.7,-1.99,481.919141801432
2.8,-1.99,462.796907612462
2.9,-1.99,444.074673423493
3,-1.99,425.752439234523
3.1,-1.99,407.830205045553
3.2,-1.99,390.307970856583
3.3,-1.99,373.185736667614
3.4,-1.99,356.463502478644
3.5,-1.99,340.141268289674
3.6,-1.99,324.219034100704
3.7,-1.99,308.696799911734
3.8,-1.99,293.574565722765
3.9,-1.99,278.852331533795
4,-1.99,264.530097344825
4.1,-1.99,250.607863155855
4.2,-1.99,237.085628966886
4.3,-1.99,223.963394777916
4.4,-1.99,211.241160588946
4.5,-1.99,198.918926399976
4.6,-1.99,186.996692211007
4.7,-1.99,175.474458022037
4.8,-1.99,164.352223833067
4.9,-1.99,153.629989644097
5,-1.99,143.307755455128
5.1,-1.99,133.385521266158
5.2,-1.99,123.863287077188
5.3,-1.99,114.741052888218
5.4,-1.99,106.018818699248
5.5,-1.99,97.6965845102787
5.6,-1.99,89.7743503213088
5.7,-1.99,82.2521161323391
5.8,-1.99,75.1298819433693
5.9,-1.99,68.4076477543996
6,-1.99,62.0854135654298
6.1,-1.99,56.16317937646
6.2,-1.99,50.6409451874903
6.3,-1.99,45.5187109985205
6.4,-1.99,40.7964768095507
6.5,-1.99,36.474242620581
6.6,-1.99,32.5520084316111
6.7,-1.99,29.0297742426415
6.8,-1.99,25.9075400536716
6.9,-1.99,23.1853058647018
7,-1.99,20.8630716757321
7.1,-1.99,18.9408374867623
7.2,-1.99,17.4186032977926
7.3,-1.99,16.2963691088228
7.4,-1.99,15.574134919853
7.5,-1.99,15.2519007308832
7.6,-1.99,15.3296665419135
7.7,-1.99,15.8074323529437
7.8,-1.99,16.6851981639739
7.9,-1.99,17.9629639750042
8,-1.99,19.6407297860344
8.1,-1.99,21.7184955970646
8.2,-1.99,24.1962614080948
8.3,-1.99,27.0740272191251
8.4,-1.99,30.3517930301554
8.5,-1.99,34.0295588411855
8.6,-1.99,38.1073246522158
8.7,-1.99,42.5850904632459
8.8,-1.99,47.4628562742762
8.9,-1.99,52.7406220853065
9,-1.99,58.4183878963366
9.1,-1.99,64.496153707367
9.2,-1.99,70.9739195183973
9.3,-1.99,77.8516853294274
9.4,-1.99,85.1294511404577
9.5,-1.99,92.8072169514878
9.6,-1.99,100.884982762518
9.7,-1.99,109.362748573548
9.8,-1.99,118.240514384579
9.9,-1.99,127.518280195609
10,-1.99,137.196046006639
-10,-1.98,6131.19519711643
-9.9,-1.98,6061.44663109239
-9.8,-1.98,5992.09806506834
-9.7,-1.98,5923.1494990443
-9.6,-1.98,5854.60093302025
-9.5,-1.98,5786.45236699621
-9.4,-1.98,5718.70380097216
-9.3,-1.98,5651.35523494812
-9.2,-1.98,5584.40666892407
-9.1,-1.98,5517.85810290002
-9,-1.98,5451.70953687598
-8.9,-1.98,5385.96097085193
-8.8,-1.98,5320.61240482789
-8.7,-1.98,5255.66383880384
-8.6,-1.98,5191.1152727798
-8.5,-1.98,5126.96670675575
-8.4,-1.98,5063.21814073171
-8.3,-1.98,4999.86957470766
-8.2,-1.98,4936.92100868362
-8.1,-1.98,4874.37244265957
-8,-1.98,4812.22387663553
-7.9,-1.98,4750.47531061148
-7.8,-1.98,4689.12674458744
-7.7,-1.98,4628.17817856339
-7.6,-1.98,4567.62961253935
-7.5,-1.98,4507.4810465153
-7.4,-1.98,4447.73248049126
-7.3,-1.98,4388.38391446721
-7.2,-1.98,4329.43534844316
-7.1,-1.98,4270.88678241912
-7,-1.98,4212.73821639507
-6.9,-1.98,4154.98965037103
-6.8,-1.98,4097.64108434698
-6.7,-1.98,4040.69251832294
-6.6,-1.98,3984.14395229889
-6.5,-1.98,3927.99538627485
-6.4,-1.98,3872.2468202508
-6.3,-1.98,3816.89825422676
-6.2,-1.98,3761.94968820271
-6.1,-1.98,3707.40112217867
-6,-1.98,3653.25255615462
-5.9,-1.98,3599.50399013057
-5.8,-1.98,3546.15542410653
-5.7,-1.98,3493.20685808248
-5.6,-1.98,3440.65829205844
-5.5,-1.98,3388.50972603439
-5.4,-1.98,3336.76116001035
-5.3,-1.98,3285.4125939863
-5.2,-1.98,3234.46402796226
-5.1,-1.98,3183.91546193821
-5,-1.98,3133.76689591417
-4.9,-1.98,3084.01832989012
-4.8,-1.98,3034.66976386608
-4.7,-1.98,2985.72119784203
-4.6,-1.98,2937.17263181799
-4.5,-1.98,2889.02406579394
-4.4,-1.98,2841.2754997699
-4.3,-1.98,2793.92693374585
-4.2,-1.98,2746.9783677218
-4.1,-1.98,2700.42980169776
-4,-1.98,2654.28123567371
-3.9,-1.98,2608.53266964967
-3.8,-1.98,2563.18410362562
-3.7,-1.98,2518.23553760158
-3.6,-1.98,2473.68697157753
-3.5,-1.98,2429.53840555349
-3.4,-1.98,2385.78983952944
-3.3,-1.98,2342.4412735054
-3.2,-1.98,2299.49270748135
-3.1,-1.98,2256.94414145731
-3,-1.98,2214.79557543326
-2.9,-1.98,2173.04700940922
-2.8,-1.98,2131.69844338517
-2.7,-1.98,2090.74987736113
-2.6,-1.98,2050.20131133708
-2.5,-1.98,2010.05274531304
-2.4,-1.98,1970.30417928899
-2.3,-1.98,1930.95561326494
-2.2,-1.98,1892.0070472409
-2.1,-1.98,1853.45848121685
-2,-1.98,1815.30991519281
-1.9,-1.98,1777.56134916876
-1.8,-1.98,1740.21278314472
-1.7,-1.98,1703.26421712067
-1.6,-1.98,1666.71565109663
-1.5,-1.98,1630.56708507258
-1.4,-1.98,1594.81851904854
-1.3,-1.98,1559.46995302449
-1.2,-1.98,1524.52138700045
-1.1,-1.98,1489.9728209764
-1,-1.98,1455.82425495236
-0.9,-1.98,1422.07568892831
-0.799999999999999,-1.98,1388.72712290426
-0.699999999999999,-1.98,1355.77855688022
-0.6,-1.98,1323.22999085617
-0.5,-1.98,1291.08142483213
-0.399999999999999,-1.98,1259.33285880808
-0.299999999999999,-1.98,1227.98429278404
-0.199999999999999,-1.98,1197.03572675999
-0.0999999999999996,-1.98,1166.48716073595
0,-1.98,1136.3385947119
0.100000000000001,-1.98,1106.59002868786
0.200000000000001,-1.98,1077.24146266381
0.300000000000001,-1.98,1048.29289663977
0.4,-1.98,1019.74433061572
0.5,-1.98,991.595764591676
0.600000000000001,-1.98,963.84719856763
0.700000000000001,-1.98,936.498632543585
0.800000000000001,-1.98,909.55006651954
0.9,-1.98,883.001500495495
1,-1.98,856.85293447145
1.1,-1.98,831.104368447404
1.2,-1.98,805.755802423359
1.3,-1.98,780.807236399313
1.4,-1.98,756.258670375268
1.5,-1.98,732.110104351223
1.6,-1.98,708.361538327177
1.7,-1.98,685.012972303132
1.8,-1.98,662.064406279087
1.9,-1.98,639.515840255042
2,-1.98,617.367274230996
2.1,-1.98,595.618708206951
2.2,-1.98,574.270142182906
2.3,-1.98,553.32157615886
2.4,-1.98,532.773010134815
2.5,-1.98,512.62444411077
2.6,-1.98,492.875878086724
2.7,-1.98,473.527312062679
2.8,-1.98,454.578746038634
2.9,-1.98,436.030180014589
3,-1.98,417.881613990543
3.1,-1.98,400.133047966498
3.2,-1.98,382.784481942453
3.3,-1.98,365.835915918407
3.4,-1.98,349.287349894362
3.5,-1.98,333.138783870317
3.6,-1.98,317.390217846271
3.7,-1.98,302.041651822226
3.8,-1.98,287.093085798181
3.9,-1.98,272.544519774136
4,-1.98,258.39595375009
4.1,-1.98,244.647387726045
4.2,-1.98,231.298821702
4.3,-1.98,218.350255677954
4.4,-1.98,205.801689653909
4.5,-1.98,193.653123629864
4.6,-1.98,181.904557605818
4.7,-1.98,170.555991581773
4.8,-1.98,159.607425557728
4.9,-1.98,149.058859533683
5,-1.98,138.910293509637
5.1,-1.98,129.161727485592
5.2,-1.98,119.813161461547
5.3,-1.98,110.864595437501
5.4,-1.98,102.316029413456
5.5,-1.98,94.1674633894109
5.6,-1.98,86.4188973653655
5.7,-1.98,79.0703313413203
5.8,-1.98,72.121765317275
5.9,-1.98,65.5731992932297
6,-1.98,59.4246332691844
6.1,-1.98,53.6760672451391
6.2,-1.98,48.3275012210939
6.3,-1.98,43.3789351970485
6.4,-1.98,38.8303691730031
6.5,-1.98,34.6818031489579
6.6,-1.98,30.9332371249126
6.7,-1.98,27.5846711008673
6.8,-1.98,24.636105076822
6.9,-1.98,22.0875390527767
7,-1.98,19.9389730287314
7.1,-1.98,18.1904070046861
7.2,-1.98,16.8418409806408
7.3,-1.98,15.8932749565955
7.4,-1.98,15.3447089325502
7.5,-1.98,15.1961429085049
7.6,-1.98,15.4475768844596
7.7,-1.98,16.0990108604143
7.8,-1.98,17.150444836369
7.9,-1.98,18.6018788123237
8,-1.98,20.4533127882784
8.1,-1.98,22.7047467642331
8.2,-1.98,25.3561807401878
8.3,-1.98,28.4076147161425
8.4,-1.98,31.8590486920973
8.5,-1.98,35.7104826680519
8.6,-1.98,39.9619166440066
8.7,-1.98,44.6133506199612
8.8,-1.98,49.664784595916
