"b0","b1","logL"
-0.13,-1,-13.0032564945192
-0.12,-1,-12.9923391740113
-0.11,-1,-12.9817268885356
-0.1,-1,-12.9714205448419
-0.09,-1,-12.9614210424962
-0.08,-1,-12.9517292738161
-0.07,-1,-12.9423461238075
-0.0599999999999999,-1,-12.9332724701028
-0.0499999999999999,-1,-12.9245091828999
-0.04,-1,-12.9160571249033
-0.03,-1,-12.9079171512655
-0.02,-1,-12.9000901095305
-0.01,-1,-12.892576839578
0,-1,-12.8853781735699
0.01,-1,-12.8784949358969
0.02,-1,-12.8719279431274
0.03,-1,-12.8656780039574
0.04,-1,-12.8597459191618
0.05,-1,-12.8541324815474
0.0600000000000001,-1,-12.8488384759066
0.0700000000000001,-1,-12.8438646789732
0.0800000000000001,-1,-12.8392118593796
0.0900000000000001,-1,-12.8348807776148
0.1,-1,-12.8308721859841
0.11,-1,-12.8271868285712
0.12,-1,-12.8238254411999
0.13,-1,-12.820788751399
0.14,-1,-12.8180774783674
0.15,-1,-12.8156923329416
0.16,-1,-12.8136340175639
0.17,-1,-12.8119032262528
0.18,-1,-12.8105006445738
0.19,-1,-12.8094269496132
0.2,-1,-12.8086828099519
0.21,-1,-12.8082688856414
0.22,-1,-12.8081858281814
0.23,-1,-12.8084342804983
0.24,-1,-12.8090148769259
0.25,-1,-12.8099282431869
0.26,-1,-12.8111749963762
0.27,-1,-12.8127557449456
0.28,-1,-12.8146710886904
0.29,-1,-12.8169216187364
0.3,-1,-12.8195079175294
0.31,-1,-12.8224305588259
0.32,-1,-12.8256901076848
0.33,-1,-12.8292871204611
0.34,-1,-12.8332221448009
0.35,-1,-12.8374957196375
0.36,-1,-12.8421083751892
0.37,-1,-12.8470606329588
0.38,-1,-12.8523530057342
0.39,-1,-12.8579859975899
0.4,-1,-12.8639601038911
0.41,-1,-12.8702758112984
0.42,-1,-12.8769335977734
0.43,-1,-12.8839339325874
0.44,-1,-12.8912772763291
0.45,-1,-12.898964080916
0.46,-1,-12.9069947896052
0.47,-1,-12.9153698370069
0.48,-1,-12.9240896490984
0.49,-1,-12.9331546432401
0.5,-1,-12.9425652281919
0.51,-1,-12.9523218041315
0.52,-1,-12.9624247626741
0.53,-1,-12.972874486893
0.54,-1,-12.9836713513412
0.55,-1,-12.9948157220753
0.56,-1,-13.0063079566789
0.57,-1,-13.0181484042893
0.58,-1,-13.0303374056231
0.59,-1,-13.0428752930052
0.6,-1,-13.0557623903971
0.61,-1,-13.0689990134274
0.62,-1,-13.0825854694233
0.63,-1,-13.0965220574427
0.64,-1,-13.1108090683081
0.65,-1,-13.1254467846407
0.66,-1,-13.1404354808963
0.67,-1,-13.1557754234023
0.68,-1,-13.1714668703945
0.69,-1,-13.1875100720567
0.7,-1,-13.2039052705596
0.71,-1,-13.2206527001019
0.72,-1,-13.2377525869515
0.73,-1,-13.2552051494882
0.74,-1,-13.2730105982467
0.75,-1,-13.2911691359611
0.76,-1,-13.3096809576098
0.77,-1,-13.3285462504616
0.78,-1,-13.3477651941219
0.79,-1,-13.3673379605809
0.8,-1,-13.3872647142613
0.81,-1,-13.4075456120677
0.82,-1,-13.4281808034359
0.83,-1,-13.4491704303838
0.84,-1,-13.4705146275624
0.85,-1,-13.4922135223072
0.86,-1,-13.5142672346912
0.87,-1,-13.5366758775775
0.88,-1,-13.5594395566732
0.89,-1,-13.5825583705834
